# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 181K of event 'cycles'
# Event count (approx.): 147404306158
#
# Overhead  Command  Shared Object       Symbol                                                 
# ........  .......  ..................  .......................................................
#
    85.69%  pigz     libcz.so.1.2.8      [.] _ZL13longest_matchP14internal_statej               
     8.54%  pigz     libcz.so.1.2.8      [.] _ZL12deflate_slowP14internal_statei                
     2.29%  pigz     libcz.so.1.2.8      [.] _ZL14compress_blockP14internal_statePK9ct_data_sS3_
     1.91%  pigz     libcz.so.1.2.8      [.] _ZL11fill_windowP14internal_state                  
     0.61%  pigz     libcz.so.1.2.8      [.] _ZL12crc32_littlemPKhj                             
     0.38%  pigz     libcz.so.1.2.8      [.] _ZL10pqdownheapP14internal_stateP9ct_data_si       
     0.09%  pigz     [kernel.kallsyms]   [k] copy_user_enhanced_fast_string                     
     0.07%  pigz     libc-2.19.so        [.] __memcpy_sse2_unaligned                            
     0.07%  pigz     libcz.so.1.2.8      [.] _ZL10build_treeP14internal_stateP11tree_desc_s     
     0.04%  pigz     libcz.so.1.2.8      [.] _ZL10gen_bitlenP14internal_stateP11tree_desc_s     
     0.04%  pigz     libcz.so.1.2.8      [.] _ZL10bi_reverseji                                  
     0.03%  pigz     libcz.so.1.2.8      [.] _ZL9send_treeP14internal_stateP9ct_data_si         
     0.03%  pigz     libcz.so.1.2.8      [.] _ZL9gen_codesP9ct_data_siPt                        
     0.03%  pigz     libcz.so.1.2.8      [.] _ZL9scan_treeP14internal_stateP9ct_data_si         
     0.01%  pigz     [kernel.kallsyms]   [k] find_get_entry                                     
     0.01%  pigz     [kernel.kallsyms]   [k] native_write_msr_safe                              
     0.01%  pigz     [kernel.kallsyms]   [k] apic_timer_interrupt                               
     0.00%  pigz     libcz.so.1.2.8      [.] _ZL10init_blockP14internal_state                   
     0.00%  pigz     [kernel.kallsyms]   [k] __wake_up_bit                                      
     0.00%  pigz     [kernel.kallsyms]   [k] _raw_spin_lock                                     
     0.00%  pigz     [kernel.kallsyms]   [k] perf_event_task_tick                               
     0.00%  pigz     [kernel.kallsyms]   [k] run_timer_softirq                                  
