# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 341K of event 'cycles'
# Event count (approx.): 225467342757
#
# Overhead  Command  Shared Object      Symbol                                     
# ........  .......  .................  ...........................................
#
    21.32%  pigz     pigz               [.] ZopfliUpdateHash                       
    21.04%  pigz     pigz               [.] ZopfliFindLongestMatch                 
    12.68%  pigz     pigz               [.] GetBestLengths                         
     7.91%  pigz     pigz               [.] ZopfliCacheToSublen                    
     5.77%  pigz     pigz               [.] TryGetFromLongestMatchCache            
     5.12%  pigz     pigz               [.] GetCostStat                            
     3.17%  pigz     pigz               [.] ZopfliGetDistSymbol                    
     2.49%  pigz     pigz               [.] ZopfliInitHash                         
     2.45%  pigz     pigz               [.] ZopfliMaxCachedSublen                  
     2.17%  pigz     pigz               [.] CalculateBlockSymbolSize               
     1.87%  pigz     pigz               [.] GetMatch                               
     1.68%  pigz     pigz               [.] ZopfliLZ77Counts                       
     1.28%  pigz     pigz               [.] UpdateHashValue                        
     1.10%  pigz     pigz               [.] ZopfliGetLengthSymbol                  
     0.93%  pigz     pigz               [.] BoundaryPM                             
     0.91%  pigz     pigz               [.] ZopfliInitCache                        
     0.84%  pigz     pigz               [.] ZopfliVerifyLenDist                    
     0.79%  pigz     pigz               [.] ZopfliGetDistExtraBits                 
     0.72%  pigz     pigz               [.] ZopfliGetLengthExtraBits               
     0.65%  pigz     pigz               [.] FollowPath                             
     0.56%  pigz     pigz               [.] ZopfliSublenToCache                    
     0.45%  pigz     pigz               [.] ZopfliStoreLitLenDist                  
     0.43%  pigz     pigz               [.] StoreInLongestMatchCache               
     0.40%  pigz     pigz               [.] TraceBackwards                         
     0.37%  pigz     pigz               [.] GetStatistics                          
     0.31%  pigz     pigz               [.] GetFreeNode                            
     0.30%  pigz     pigz               [.] EncodeTree                             
     0.19%  pigz     pigz               [.] ZopfliLengthLimitedCodeLengths         
     0.18%  pigz     pigz               [.] ZopfliLZ77Greedy                       
     0.16%  pigz     pigz               [.] InitNode                               
     0.16%  pigz     [kernel.kallsyms]  [k] osl_readl                              
     0.15%  pigz     pigz               [.] AddHuffmanBits                         
